judul,harga,lokasi,kamar_tidur,kamar_mandi,carport,luas_tanah,luas_bangunan
Siap Huni,"Rp 1,32 Miliar","Rp 1,32 Miliar",3,1,,63 m²,86 m²
"Rp 3,1 Miliar","Rp 3,1 Miliar","Rp 3,1 Miliar",,,,84 m²,144 m²
Siap Huni,"Rp 1,45 Miliar","Rp 1,45 Miliar",,,,90 m²,62 m²
Rp 4 Miliar,Rp 4 Miliar,"BSD, Tangerang",4,2,,300 m²,300 m²
"Rp 2,8 Miliar","Rp 2,8 Miliar","Rp 2,8 Miliar",3,1,,72 m²,125 m²
Full Furnished,"Rp 1,3 Miliar","Rp 1,3 Miliar",2,1,,40 m²,45 m²
"Rp 5,3 Miliar","Rp 5,3 Miliar","Rp 5,3 Miliar",5,1,,126 m²,231 m²
Full Furnished,"Rp 4,97 Miliar","Rp 4,97 Miliar",4,1,,140 m²,190 m²
Full Furnished,"Rp 1,35 Miliar","Rp 1,35 Miliar",2,1,,40 m²,45 m²
Dekat Akses Transportasi,"Rp 1,37 Miliar","Rp 1,37 Miliar",3,1,,66 m²,74 m²
Dekat Akses Transportasi,"Rp 2,25 Miliar","Rp 2,25 Miliar",3,2,,112 m²,117 m²
Dekat Akses Transportasi,"Rp 1,1 Miliar","Rp 1,1 Miliar",3,2,,61 m²,80 m²
Dekat Akses Transportasi,"Rp 1,1 Miliar","Rp 1,1 Miliar",3,2,,61 m²,80 m²
Siap Huni,"Rp 1,2 Miliar","Rp 1,2 Miliar",3,2,,70 m²,69 m²
Siap Huni,"Rp 1,1 Miliar","Rp 1,1 Miliar",2,2,,60 m²,60 m²
Siap Huni,"Rp 1,02 Miliar","Rp 1,02 Miliar",,,,168 m²,79 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,150 m²,120 m²
Full Furnished,"Rp 2,3 Miliar","Rp 2,3 Miliar",,,,110 m²,138 m²
